Class,Pkmn1,Pkmn2,Pkmn3,Pkmn4,Pkmn5,Pkmn6
biker,gulpin,,,,,
biker,gulpin,weezing,weezing,,,
biker,koffing,koffing,koffing,koffing,,
biker,teddiursa,marill,,,,
biker,teddiursa,azumarill,,,,
biker,teddiursa,azumarill,,,,
biker,ursaring,azumarill,,,,
biker,koffing,weezing,magmar,,,
biker,flareon,,,,,
biker,magmar,tentacruel,,,,
biker,magmar,magmar,,,,
biker,skorupi,,,,,
biker,weezing,,,,,
biker,arbok,weezing,,,,
biker,arbok,weezing,,,,
biker,arbok,weezing,,,,
biker,seviper,,,,,
biker,croagunk,,,,,
biker,koffing,koffing,,,,
bird keeper,pidgey,pidgeotto,,,,
bird keeper,spearow,pidgey,pidgey,spearow,spearow,
bird keeper,pidgey,pidgeotto,spearow,fearow,,
bird keeper,pidgey,spearow,pidgey,fearow,,
bird keeper,pidgey,doduo,pidgeotto,,,
bird keeper,pidgeotto,fearow,,,,
bird keeper,spearow,doduo,fearow,,,
bird keeper,farfetch'd,,,,,
bird keeper,spearow,fearow,,,,
bird keeper,dodrio,doduo,doduo,,,
bird keeper,pidgeotto,farfetch'd,doduo,pidgey,,
bird keeper,spearow,fearow,,,,
bird keeper,spearow,spearow,fearow,spearow,,
bird keeper,dodrio,,,,,
bird keeper,fearow,fearow,pidgeotto,,,
bird keeper,spearow,,,,,
bird keeper,noctowl,,,,,
bird keeper,doduo,dodrio,doduo,,,
bird keeper,pidgeotto,fearow,,,,
bird keeper,pidgey,pidgeotto,,,,
bird keeper,spearow,spearow,fearow,,,
bird keeper,farfetch'd,,,,,
bird keeper,farfetch'd,,,,,
bird keeper,farfetch'd,,,,,
bird keeper,pidgey,pidgeot,,,,
bird keeper,farfetch'd,,,,,
bird keeper,pidgey,pidgey,spearow,,,
bird keeper,pidgey,pidgey,,,,
bird keeper,fearow,fearow,,,,
bird keeper,pidgey,pidgey,pidgey,pidgey,pidgey,
bird keeper,doduo,doduo,doduo,,,
bird keeper,pidgeotto,pidgeotto,,,,
bird keeper,pidgeotto,pidgeotto,,,,
bird keeper,pidgeotto,pidgeot,,,,
bird keeper,spearow,,,,,
bird keeper,noctowl,,,,,
bird keeper,doduo,dodrio,doduo,,,
bird keeper,pidgeotto,fearow,,,,
bird keeper,pidgey,pidgeotto,,,,
bird keeper,spearow,spearow,fearow,,,
bird keeper,farfetch'd,,,,,
bird keeper,farfetch'd,,,,,
bird keeper,farfetch'd,,,,,
bird keeper,pidgey,pidgeot,,,,
bird keeper,farfetch'd,,,,,
bird keeper,pidgey,pidgey,spearow,,,
bird keeper,pidgey,pidgey,,,,
bird keeper,fearow,fearow,,,,
bird keeper,pidgey,pidgey,pidgey,pidgey,pidgey,
bird keeper,doduo,doduo,doduo,,,
bird keeper,pidgeotto,pidgeotto,,,,
bird keeper,pidgeotto,pidgeotto,,,,
bird keeper,pidgeot,pidgeot,,,,
bird keeper,natu,wingull,swellow,pelipper,,
bird keeper,swellow,pelipper,xatu,,,
bird keeper,pelipper,pelipper,,,,
bird keeper,swellow,pelipper,,,,
bird keeper,taillow,swellow,,,,
bird keeper,natu,swellow,,,,
bird keeper,swellow,,,,,
bird keeper,doduo,,,,,
bird keeper,wingull,,,,,
bird keeper,taillow,wingull,swellow,,,
bird keeper,swablu,,,,,
bird keeper,natu,swablu,,,,
bird keeper,natu,altaria,,,,
bird keeper,natu,altaria,,,,
bird keeper,altaria,xatu,,,,
bird keeper,wingull,swellow,pelipper,,,
bird keeper,swellow,skarmory,,,,
bird keeper,pelipper,xatu,,,,
bird keeper,natu,swellow,,,,
bird keeper,tropius,,,,,
bird keeper,swellow,pelipper,xatu,,,
bird keeper,taillow,swellow,,,,
bird keeper,skarmory,swellow,,,,
bird keeper,wingull,natu,,,,
bird keeper,sudowoodo,slowking,entei,,,
bird keeper,tropius,,,,,
bird keeper,doduo,pelipper,,,,
bird keeper,skarmory,skarmory,,,,
bird keeper,wingull,tropius,,,,
bird keeper,skarmory,,,,,
bird keeper,doduo,skarmory,tropius,,,
bird keeper,taillow,wingull,,,,
bird keeper,wingull,,,,,
bird keeper,swellow,,,,,
bird keeper,tropius,xatu,,,,
bird keeper,swablu,,,,,
bird keeper,natu,swablu,,,,
bird keeper,natu,altaria,,,,
bird keeper,natu,altaria,,,,
bird keeper,altaria,xatu,,,,
bird keeper,pidgeotto,fearow,,,,
bird keeper,spearow,fearow,,,,
bird keeper,fearow,fearow,,,,
bird keeper,fearow,fearow,,,,
bird keeper,pidgey,doduo,pidgeotto,,,
bird keeper,spearow,fearow,,,,
bird keeper,fearow,fearow,,,,
bird keeper,dodrio,doduo,doduo,,,
bird keeper,dodrio,dodrio,doduo,,,
bird keeper,dodrio,dodrio,dodrio,,,
bird keeper,farfetch'd,,,,,
bird keeper,pidgeotto,farfetch'd,doduo,pidgey,,
bird keeper,hoothoot,noctowl,,,,
bird keeper,noctowl,noctowl,,,,
bird keeper,dodrio,,,,,
bird keeper,spearow,spearow,fearow,spearow,,
bird keeper,fearow,spearow,fearow,spearow,,
bird keeper,fearow,fearow,fearow,fearow,,
bird keeper,spearow,doduo,fearow,,,
bird keeper,fearow,doduo,fearow,,,
bird keeper,fearow,dodrio,fearow,,,
bird keeper,pidgey,pidgeotto,,,,
bird keeper,pidgeotto,pidgeot,,,,
bird keeper,pidgey,spearow,pidgey,fearow,,
bird keeper,spearow,pidgey,pidgey,spearow,spearow,
bird keeper,dodrio,,,,,
bird keeper,pidgey,pidgeotto,spearow,fearow,,
bird keeper,pidgeotto,pidgeotto,fearow,fearow,,
bird keeper,pidgeot,pidgeot,fearow,fearow,,
bird keeper,fearow,fearow,pidgeotto,,,
bird keeper,pidgey,pidgeotto,,,,
bird keeper,spearow,fearow,,,,
bird keeper,hoothoot,,,,,
bird keeper,farfetch'd,swellow,,,,
bird keeper,farfetch'd,swellow,,,,
bird keeper,murkrow,honchkrow,,,,
bird keeper,hoothoot,noctowl,,,,
bird keeper,noctowl,noctowl,,,,
bird keeper,noctowl,noctowl,,,,
bird keeper,golbat,xatu,,,,
bird keeper,noctowl,staraptor,,,,
bird keeper,noctowl,,,,,
bird keeper,dodrio,fearow,honchkrow,,,
bird keeper,starly,hoothoot,,,,
bird keeper,taillow,farfetch'd,pidgeot,,,
bird keeper,farfetch'd,swellow,pidgeot,,,
bird keeper,murkrow,xatu,,,,
bird keeper,hoothoot,noctowl,,,,
bird keeper,noctowl,noctowl,,,,
bird keeper,skarmory,noctowl,noctowl,,,
bird keeper,fearow,xatu,,,,
bird keeper,noctowl,togetic,,,,
bird keeper,noctowl,,,,,
bird keeper,staravia,fearow,noctowl,,,
bird keeper,spearow,,,,,
bird keeper,wingull,fearow,,,,
bird keeper,noctowl,,,,,
bird keeper,doduo,dodrio,doduo,,,
bird keeper,taillow,fearow,,,,
bird keeper,pidgey,pidgeotto,,,,
bird keeper,spearow,spearow,fearow,,,
bird keeper,doduo,doduo,dodrio,dodrio,,
bird keeper,starly,,,,,
bird keeper,fearow,spearow,,,,
bird keeper,pidgey,pidgeot,,,,
bird keeper,fearow,,,,,
bird keeper,fearow,skarmory,,,,
bird keeper,skarmory,fearow,,,,
bird keeper,skarmory,fearow,,,,
bird keeper,farfetch'd,,,,,
bird keeper,farfetch'd,,,,,
bird keeper,farfetch'd,farfetch'd,,,,
bird keeper,farfetch'd,farfetch'd,farfetch'd,,,
bird keeper,xatu,noctowl,,,,
bird keeper,farfetch'd,fearow,pidgeotto,,,
bird keeper,pidgey,pidgey,spearow,,,
bird keeper,farfetch'd,,,,,
bird keeper,pidgey,pidgey,,,,
bird keeper,fearow,fearow,,,,
bird keeper,pidgey,pidgey,pidgey,pidgey,pidgey,
bird keeper,doduo,doduo,doduo,,,
bird keeper,hoothoot,pidgeotto,,,,
bird keeper,hoothoot,pidgeotto,,,,
bird keeper,pidgeotto,noctowl,pidgeot,,,
bird keeper,pidgeot,pidgeot,noctowl,,,
black belt,machop,mankey,primeape,,,
black belt,machop,machoke,,,,
black belt,primeape,,,,,
black belt,mankey,mankey,primeape,,,
black belt,hitmonlee,hitmonchan,,,,
black belt,machoke,,,,,
black belt,machop,machoke,,,,
black belt,machoke,machop,machoke,,,
black belt,machoke,machop,machoke,,,
black belt,machoke,,,,,
black belt,onix,hitmonlee,onix,machoke,,
black belt,onix,machamp,onix,hitmonlee,,
black belt,hitmonlee,hitmonchan,,,,
black belt,hitmonlee,,,,,
black belt,mankey,mankey,primeape,,,
black belt,machop,machoke,,,,
black belt,machoke,machoke,machoke,,,
black belt,hitmonlee,,,,,
black belt,makuhita,machoke,hariyama,,,
black belt,machop,,,,,
black belt,machop,,,,,
black belt,machoke,machoke,,,,
black belt,makuhita,makuhita,machoke,,,
black belt,machop,machoke,,,,
black belt,machoke,machoke,,,,
black belt,machop,,,,,
black belt,machoke,,,,,
black belt,machop,machoke,,,,
black belt,machop,machoke,machoke,,,
black belt,machop,machoke,machoke,machamp,,
black belt,makuhita,machoke,,,,
black belt,hariyama,,,,,
black belt,makuhita,,,,,
black belt,machop,,,,,
black belt,machop,machoke,,,,
black belt,hariyama,,,,,
black belt,machop,machoke,,,,
black belt,machoke,,,,,
black belt,machoke,machoke,,,,
black belt,makuhita,machoke,machoke,,,
black belt,hariyama,machoke,machoke,,,
black belt,hariyama,machamp,machamp,,,
black belt,machop,,,,,
black belt,machoke,,,,,
black belt,machop,machoke,,,,
black belt,machop,machoke,machoke,,,
black belt,machop,machoke,machoke,machamp,,
black belt,makuhita,,,,,
black belt,machop,,,,,
black belt,meditite,heracross,hitmontop,,,
black belt,makuhita,machoke,,,,
black belt,hariyama,,,,,
black belt,primeape,,,,,
black belt,machop,machoke,,,,
black belt,machoke,machop,machoke,,,
black belt,machop,machoke,,,,
black belt,machop,mankey,primeape,,,
black belt,machop,machoke,,,,
black belt,machoke,machoke,,,,
black belt,machoke,machamp,,,,
black belt,machoke,,,,,
black belt,hitmonlee,hitmonchan,,,,
black belt,mankey,mankey,primeape,,,
black belt,poliwrath,,,,,
black belt,poliwrath,,,,,
black belt,machop,machoke,,,,
black belt,machoke,machoke,,,,
black belt,machoke,machamp,,,,
black belt,machoke,machop,machoke,,,
black belt,machoke,,,,,
black belt,croagunk,machamp,,,,
black belt,machoke,machoke,machoke,,,
black belt,machoke,machop,machoke,,,
black belt,onix,steelix,,,,
black belt,mankey,makuhita,hariyama,,,
black belt,primeape,hariyama,hariyama,,,
black belt,croagunk,,,,,
black belt,machoke,machamp,,,,
black belt,meditite,machop,meditite,,,
black belt,cacturne,machamp,,,,
black belt,machamp,,,,,
black belt,machoke,meditite,,,,
black belt,croagunk,,,,,
black belt,machop,,,,,
black belt,croagunk,onix,machoke,,,
black belt,machamp,,,,,
black belt,croagunk,machop,meditite,,,
black belt,machoke,,,,,
black belt,machamp,,,,,
black belt,meditite,,,,,
black belt,tyrogue,cubone,breloom,,,
black belt,steelix,,,,,
black belt,croagunk,machoke,meditite,,,
black belt,onix,machamp,,,,
black belt,machoke,,,,,
black belt,tyrogue,hitmonlee,,,,
black belt,machoke,machoke,machoke,,,
black belt,machop,meditite,machoke,,,
black belt,steelix,steelix,,,,
black belt,tyrogue,makuhita,machamp,,,
black belt,hitmontop,hariyama,machamp,,,
black belt,croagunk,,,,,
black belt,mankey,machoke,infernape,,,
black belt,machop,machop,machop,,,
black belt,breloom,medicham,,,,
black belt,machamp,,,,,
black belt,heracross,,,,,
black belt,toxicroak,,,,,
black belt,machop,,,,,
black belt,croagunk,machoke,riolu,,,
black belt,machamp,,,,,
black belt,croagunk,machop,meditite,,,
black belt,machoke,,,,,
black belt,machamp,,,,,
black belt,croagunk,machoke,,,,
black belt,breloom,toxicroak,,,,
black belt,steelix,,,,,
black belt,croagunk,meditite,machoke,,,
black belt,heracross,machamp,,,,
black belt,primeape,graveler,machoke,,,
black belt,machoke,,,,,
black belt,onix,hitmonlee,onix,machoke,,
black belt,onix,hitmonlee,onix,machamp,,
black belt,onix,hitmonlee,onix,machamp,,
black belt,hitmonlee,hitmonchan,,,,
black belt,hitmonchan,,,,,
black belt,mankey,mankey,primeape,,,
black belt,poliwrath,,,,,
black belt,machop,machoke,,,,
black belt,machoke,meditite,machoke,,,
black belt,hitmonlee,,,,,
bug catcher,weedle,caterpie,,,,
bug catcher,weedle,kakuna,weedle,,,
bug catcher,weedle,,,,,
bug catcher,caterpie,weedle,caterpie,,,
bug catcher,weedle,kakuna,caterpie,metapod,,
bug catcher,caterpie,metapod,,,,
bug catcher,weedle,kakuna,,,,
bug catcher,caterpie,metapod,caterpie,,,
bug catcher,caterpie,weedle,,,,
bug catcher,weedle,caterpie,weedle,,,
bug catcher,butterfree,,,,,
bug catcher,beedrill,beedrill,,,,
bug catcher,caterpie,weedle,venonat,,,
bug catcher,caterpie,caterpie,,,,
bug catcher,metapod,caterpie,metapod,,,
bug catcher,caterpie,metapod,,,,
bug catcher,caterpie,,,,,
bug catcher,caterpie,weedle,caterpie,,,
bug catcher,weedle,kakuna,caterpie,metapod,,
bug catcher,caterpie,metapod,,,,
bug catcher,weedle,kakuna,,,,
bug catcher,caterpie,metapod,caterpie,,,
bug catcher,caterpie,weedle,,,,
bug catcher,weedle,caterpie,weedle,,,
bug catcher,butterfree,,,,,
bug catcher,beedrill,beedrill,,,,
bug catcher,caterpie,weedle,venonat,,,
bug catcher,weedle,caterpie,,,,
bug catcher,venonat,,,,,
bug catcher,venonat,,,,,
bug catcher,venomoth,,,,,
bug catcher,venomoth,,,,,
bug catcher,venomoth,,,,,
bug catcher,weedle,kakuna,beedrill,,,
bug catcher,caterpie,caterpie,,,,
bug catcher,ariados,,,,,
bug catcher,beedrill,beedrill,beedrill,,,
bug catcher,paras,,,,,
bug catcher,ariados,pinsir,,,,
bug catcher,beedrill,butterfree,,,,
bug catcher,caterpie,caterpie,weedle,caterpie,,
bug catcher,metapod,metapod,kakuna,metapod,,
bug catcher,butterfree,butterfree,beedrill,butterfree,,
bug catcher,butterfree,butterfree,beedrill,butterfree,,
bug catcher,butterfree,butterfree,beedrill,butterfree,,
bug catcher,ledyba,paras,,,,
bug catcher,nincada,nincada,,,,
bug catcher,volbeat,illumise,,,,
bug catcher,nincada,,,,,
bug catcher,ninjask,,,,,
bug catcher,dustox,ninjask,,,,
bug catcher,surskit,dustox,ninjask,,,
bug catcher,surskit,ninjask,dustox,ninjask,,
bug catcher,wurmple,silcoon,nincada,,,
bug catcher,ninjask,,,,,
bug catcher,wurmple,wurmple,wurmple,wurmple,wurmple,wurmple
bug catcher,wurmple,wurmple,,,,
bug catcher,pinsir,,,,,
bug catcher,nincada,ninjask,,,,
bug catcher,volbeat,illumise,,,,
bug catcher,nincada,nincada,,,,
bug catcher,ninjask,,,,,
bug catcher,dustox,ninjask,,,,
bug catcher,surskit,dustox,ninjask,,,
bug catcher,surskit,ninjask,dustox,ninjask,,
bug catcher,wurmple,nincada,,,,
bug catcher,ninjask,,,,,
bug catcher,wurmple,wurmple,wurmple,wurmple,,
bug catcher,wurmple,wurmple,,,,
bug catcher,caterpie,caterpie,,,,
bug catcher,beedrill,yanma,,,,
bug catcher,beedrill,beedrill,,,,
bug catcher,caterpie,weedle,metapod,kakuna,,
bug catcher,metapod,metapod,caterpie,,,
bug catcher,caterpie,weedle,caterpie,,,
bug catcher,metapod,weedle,metapod,,,
bug catcher,butterfree,kakuna,butterfree,,,
bug catcher,butterfree,beedrill,butterfree,,,
bug catcher,caterpie,weedle,venonat,,,
bug catcher,weedle,weedle,kakuna,,,
bug catcher,butterfree,,,,,
bug catcher,heracross,,,,,
bug catcher,weedle,kakuna,caterpie,metapod,,
bug catcher,caterpie,metapod,,,,
bug catcher,yanma,yanma,beedrill,beedrill,,
bug catcher,weedle,caterpie,weedle,,,
bug catcher,weedle,kakuna,,,,
bug catcher,weedle,caterpie,,,,
bug catcher,caterpie,metapod,caterpie,,,
bug catcher,weedle,,,,,
bug catcher,venonat,venomoth,,,,
bug catcher,kricketot,wurmple,,,,
bug catcher,kricketot,silcoon,,,,
bug catcher,kricketune,silcoon,,,,
bug catcher,kricketune,beautifly,,,,
bug catcher,burmy,kricketune,,,,
bug catcher,wurmple,silcoon,beautifly,,,
bug catcher,wurmple,cascoon,dustox,,,
bug catcher,wurmple,kricketot,,,,
bug catcher,dustox,kricketune,,,,
bug catcher,dustox,kricketune,scyther,,,
bug catcher,dustox,kricketune,scizor,,,
bug catcher,burmy,burmy,,,,
bug catcher,wurmple,silcoon,beautifly,,,
bug catcher,wurmple,cascoon,dustox,,,
bug catcher,butterfree,beedrill,pikachu,,,
bug catcher,caterpie,weedle,,,,
bug catcher,venonat,,,,,
bug catcher,venonat,,,,,
bug catcher,venomoth,,,,,
bug catcher,nincada,venomoth,,,,
bug catcher,weedle,kakuna,beedrill,,,
bug catcher,beedrill,beautifly,,,,
bug catcher,ariados,,,,,
bug catcher,caterpie,caterpie,,,,
bug catcher,butterfree,ariados,,,,
bug catcher,butterfree,ariados,,,,
bug catcher,butterfree,ariados,,,,
bug catcher,butterfree,ariados,,,,
bug catcher,burmy,beedrill,butterfree,,,
bug catcher,weedle,kakuna,beedrill,,,
bug catcher,paras,,,,,
bug catcher,ariados,pinsir,,,,
bug catcher,beedrill,butterfree,,,,
bug catcher,beedrill,butterfree,,,,
bug catcher,beedrill,butterfree,,,,
bug catcher,beedrill,butterfree,,,,
bug catcher,metapod,metapod,metapod,,,
bug catcher,caterpie,caterpie,weedle,caterpie,,
bug catcher,metapod,metapod,kakuna,butterfree,,
bug catcher,butterfree,butterfree,beedrill,butterfree,,
bug catcher,butterfree,butterfree,beedrill,butterfree,,
burglar,charmander,charmeleon,,,,
burglar,ninetales,,,,,
burglar,growlithe,ponyta,,,,
burglar,growlithe,vulpix,ninetales,,,
burglar,ponyta,,,,,
burglar,vulpix,growlithe,,,,
burglar,koffing,magmar,koffing,koffing,,
burglar,koffing,magmar,koffing,,,
burglar,growlithe,koffing,,,,
burglar,charmander,charmeleon,,,,
burglar,vulpix,growlithe,,,,
burglar,meowth,chansey,,,,
burglar,growlithe,ponyta,,,,
burglar,growlithe,vulpix,ninetales,,,
burglar,ponyta,,,,,
burglar,ninetales,,,,,
burglar,koffing,magmar,koffing,koffing,,
burglar,koffing,koffing,magmar,,,
burglar,growlithe,koffing,,,,
channeler,gastly,,,,,
channeler,gastly,,,,,
channeler,gastly,,,,,
channeler,gastly,gastly,,,,
channeler,gastly,,,,,
channeler,gastly,,,,,
channeler,gastly,,,,,
channeler,haunter,,,,,
channeler,gastly,,,,,
channeler,haunter,,,,,
channeler,gastly,gastly,gastly,,,
channeler,gastly,,,,,
channeler,gastly,,,,,
channeler,haunter,,,,,
channeler,gastly,haunter,,,,
channeler,gastly,gastly,haunter,,,
channeler,gastly,haunter,,,,
channeler,gastly,gastly,gastly,,,
channeler,gastly,,,,,
channeler,gastly,,,,,
channeler,gastly,,,,,
channeler,gastly,,,,,
channeler,gastly,,,,,
channeler,gastly,,,,,
channeler,gastly,gastly,,,,
channeler,gastly,,,,,
channeler,gastly,,,,,
channeler,gastly,,,,,
channeler,haunter,,,,,
channeler,haunter,,,,,
channeler,gastly,gastly,haunter,,,
ace trainer,weepinbell,gloom,ivysaur,,,
ace trainer,nidoran,nidoking,,,,
ace trainer,sandslash,dugtrio,,,,
ace trainer,rhyhorn,,,,,
ace trainer,persian,ninetales,,,,
ace trainer,ivysaur,wartortle,charmeleon,charizard,,
ace trainer,exeggutor,cloyster,arcanine,,,
ace trainer,parasect,dewgong,chansey,,,
ace trainer,kingler,tentacruel,blastoise,,,
ace trainer,bellsprout,weepinbell,victreebel,,,
ace trainer,ivysaur,charmeleon,wartortle,,,
ace trainer,charmeleon,,,,,
ace trainer,rapidash,,,,,
ace trainer,rapidash,,,,,
ace trainer,rapidash,,,,,
ace trainer,magneton,quagsire,exeggcute,,,
ace trainer,sandslash,,,,,
ace trainer,electrode,starmie,ninetales,,,
ace trainer,horsea,seadra,,,,
ace trainer,butterfree,bellossom,,,,
ace trainer,poliwhirl,,,,,
ace trainer,seadra,,,,,
ace trainer,victreebel,kingler,flareon,,,
ace trainer,victreebel,kingler,flareon,,,
ace trainer,victreebel,kingler,flareon,,,
ace trainer,eevee,vaporeon,jolteon,flareon,,
ace trainer,goldeen,seaking,,,,
ace trainer,parasect,golduck,,,,
ace trainer,staryu,starmie,,,,
ace trainer,pikachu,blastoise,,,,
ace trainer,shellder,cloyster,,,,
ace trainer,marill,wartortle,wartortle,,,
ace trainer,rhyhorn,charmeleon,wartortle,,,
ace trainer,skiploom,ninetales,,,,
ace trainer,dratini,dragonair,,,,
ace trainer,bulbasaur,ivysaur,venusaur,,,
ace trainer,dragonair,,,,,
ace trainer,charmander,bulbasaur,squirtle,,,
ace trainer,dratini,dratini,dratini,,,
ace trainer,ivysaur,starmie,,,,
ace trainer,starmie,nidoqueen,starmie,,,
ace trainer,starmie,nidoqueen,starmie,,,
ace trainer,starmie,nidoqueen,starmie,,,
ace trainer,pidgeot,electabuzz,,,,
ace trainer,flareon,tangela,tauros,,,
ace trainer,ivysaur,charmeleon,wartortle,,,
ace trainer,charmeleon,,,,,
ace trainer,rapidash,,,,,
ace trainer,rapidash,,,,,
ace trainer,rapidash,,,,,
ace trainer,magneton,quagsire,exeggcute,,,
ace trainer,sandslash,,,,,
ace trainer,horsea,horsea,horsea,,,
ace trainer,electrode,starmie,ninetales,,,
ace trainer,horsea,seadra,,,,
ace trainer,butterfree,bellossom,,,,
ace trainer,ragonair,,,,,
ace trainer,poliwhirl,,,,,
ace trainer,seadra,,,,,
ace trainer,victreebel,kingler,flareon,,,
ace trainer,victreebel,kingler,flareon,,,
ace trainer,victreebel,kingler,flareon,,,
ace trainer,eevee,vaporeon,jolteon,flareon,,
ace trainer,goldeen,seaking,,,,
ace trainer,parasect,golduck,,,,
ace trainer,staryu,starmie,,,,
ace trainer,pikachu,blastoise,,,,
ace trainer,shellder,cloyster,,,,
ace trainer,marill,wartortle,wartortle,,,
ace trainer,rhyhorn,charmeleon,wartortle,,,
ace trainer,skiploom,ninetales,,,,
ace trainer,dratini,dragonair,,,,
ace trainer,bulbasaur,ivysaur,venusaur,,,
ace trainer,dragonair,,,,,
ace trainer,charmander,bulbasaur,squirtle,,,
ace trainer,dratini,dratini,dratini,,,
ace trainer,ivysaur,starmie,,,,
ace trainer,starmie,nidoqueen,starmie,,,
ace trainer,pidgeot,electabuzz,,,,
ace trainer,flareon,tangela,tauros,,,
ace trainer,manectric,muk,,,,
ace trainer,gloom,azumarill,,,,
ace trainer,zangoose,,,,,
ace trainer,wingull,numel,roselia,,,
ace trainer,wingull,numel,roselia,,,
ace trainer,pelipper,numel,roselia,,,
ace trainer,pelipper,numel,roselia,,,
ace trainer,pelipper,camerupt,roselia,,,
ace trainer,mawile,sableye,,,,
ace trainer,swellow,trapinch,wailmer,magneton,shiftry,
ace trainer,cacturne,,,,,
ace trainer,lairon,manectric,,,,
ace trainer,linoone,,,,,
ace trainer,roselia,,,,,
